prg,en
lanktis,oven prongs
pagaptis,grab
aismis,roasting-jack
minsavc,basin
vegenis,dish with an arched lid
ansis,hook
ratinzis,chain
kalepeilis,chopper knife
panustaklan,steel fire-striker
nagis,flint
pintis,tinder
gleste,whetstone
klaivije,flank meat
saltan,flitch
jusc,broth
laje,tallow
lait'an,sausage
karceme,tavern. 383 beer
pivamaltan,malt
pivenikis,malt draff
drag'es,yeast
sp...eine,foam
skinkis,watary beer
vin'agavus,grape
vinis,wine
medu,honey
alu,mead
dravinc,hollow tub
standis,cone-shaped vat
"*apstektc, acc. sg.",lid of a cask
nopless,mangle
kanavc,barrel
vinis,spigot
dulzis,bung-hole
kragis,jug
stikle,glass
k'esi,goblet
d...enge,hoop
rik%is,lord
kunegis,king
valdvike,knight
laukinikis,landowner
talkinikis,free peasant
kumetis,peasant
karjis,army
kar'age,miltary cam- paign
"liskis, liskis",encampment
artuvcs,military cruise
pire,defence fencing
vakis,shout
kar'avaitis,military conference
kar'angus,flag
sarvis,armour
brun'es,mail
salmis,helmet
skaitan,shield
kel'an,lance
kel'agzdc,stick of a lance
kalabijan,sword
sargstis,scabbard
kugis,bulb
digne,handle
stakameseris,dagger
rusis,horse
zirgis,stallion
sver'apis,stallion for tourneys
sveikis,ploughing horse
kaivc,mare
arvaikis,draught horse
rapene,young black mare
asilis,donkey
veliblundis,mule
pire,foal
vinenikis,ambler
balgninikis,saddle-maker
balgnan,saddle
pagurnis,breast-leather for a horse
pastagis,crupper
papimpis,saddle-rug
buge,saddle-bow
lingasaitan,stirrup leather
linge,stirrup
tube,felt
tarkinc,binding strap
brizgilan,bridle
aukle,horse-halter
zabange,bit of a bridle
nolinge,rein
tukeris,weaver
milan,rough woollen cloth
pastevis,woollen cloth
vepis,dye
...eltis,ell
gailis,white
kirsnan,black
sivan,grey
galimban,bluish
v...ermjan,red
geltainan,yellow
kukan,brownish
maisetan,motley
r...eiban,speckled
zal'an,green
skrundes,scissors
lingasaitan,needle
aikule,twisted yarn
auvilkis,thread
skrutelc,tailor
kelmis,hat
pelkis,overcoat
laktis,short fur coat
vilnis,jacket
kizcs,fur coat
nurtuvc,shirt
brekai,trousers
pcd'ai,socks
drimb[ is],cover
silkasdrimb[ is],silk cover
savinzlc,belt
sagis,buckle
kulikis,small pouch
plaugzdinc,feather-bed
pabalze,mattress
balzinis,pillow
plestc,bed- sheet
lezc,blanket
paste,shawl
kekulis,bathtowel
ðuvikis,shoemaker
k'aute,leather of a shoe
nognan,leather
pusnc,boot
kurpc,shoe
timis,morocco
pakaris,leather strap of a top-boot
aulinis,leg
galve,head of shoe
pamatis,sole of a shoe
anzalis,welt
ðumene,wax-end
vidus,hem
kurpelis,shoe-tree
ile,awl
miniks,tanner
dumbis,tannin rid
utris,smith
utrc,smithy
kaminis,forging furnace
m...eisis,bellows
preikalis,anvil
kujis,hammer
kurpis,log-bed under the anvil
raplcs,thongs
plainis,steel
gelze,iron
a...usis,gold
sirablis,silver
warian,copper
kasejs,brass
alvis,lead
skarstis,tin
...auvirus,slag
takclis,grindstone
vedige,adze
ramestuvc,wide-bladed axe
bilc,axe
kerslc,double-edged axe
granztis,drill
dalptan,chisel
zemukis,padlock
zabeklis,suppress
aledc,hinge
pante,fetter
latake,horseshoe
sagis,hobnail
lisit'es,narrow stable box
d...elgis,scythe
pjuklan,sickle
lepte,spade
kerslc,hoe
stubenikis,barber-surgeon
kraujavirps,bleeder
raguste,cupping-horn
tvakstan,broom for bathing
sirmis,lye
spektc,bathing
